Validation Error	Training Error	
 5.2993e-03	 9.9164e-03	
 5.2721e-03	 1.0010e-02	
 5.2697e-03	 9.9164e-03	
 5.2531e-03	 1.0007e-02	
 5.2756e-03	 9.8428e-03	
 5.2602e-03	 9.8120e-03	
 5.2637e-03	 9.8606e-03	
 5.2459e-03	 9.8903e-03	
 5.2590e-03	 9.9710e-03	
 5.2507e-03	 9.8701e-03	
 5.2578e-03	 9.7550e-03	
 5.2483e-03	 9.8203e-03	
 5.2649e-03	 9.6613e-03	
 5.2293e-03	 9.9828e-03	
 5.2163e-03	 9.5830e-03	
 5.2080e-03	 9.6126e-03	
 5.2175e-03	 9.6245e-03	
 5.2353e-03	 9.6162e-03	
 5.2329e-03	 9.6755e-03	
 5.2400e-03	 9.5426e-03	
 5.2376e-03	 9.5260e-03	
 5.2305e-03	 9.6257e-03	
 5.2258e-03	 9.4216e-03	
 5.2341e-03	 9.3907e-03	
 5.2151e-03	 9.5462e-03	
 5.2139e-03	 9.3539e-03	
 5.2187e-03	 9.3504e-03	
 5.2258e-03	 9.3053e-03	
 5.2127e-03	 9.2792e-03	
 5.1961e-03	 9.3433e-03	
 5.2032e-03	 9.2768e-03	
 5.2293e-03	 9.2851e-03	
 5.1973e-03	 9.3433e-03	
 5.1795e-03	 9.1024e-03	
 5.1866e-03	 9.3160e-03	
 5.1724e-03	 9.1226e-03	
 5.1866e-03	 9.2448e-03	
 5.1712e-03	 9.0336e-03	
 5.1712e-03	 9.1475e-03	
 5.1676e-03	 8.9552e-03	
 5.1937e-03	 8.9814e-03	
 5.2032e-03	 9.0585e-03	
 5.1712e-03	 8.8781e-03	
 5.1700e-03	 8.8627e-03	
 5.1534e-03	 8.8793e-03	
 5.1570e-03	 8.9185e-03	
 5.1498e-03	 8.8318e-03	
 5.1688e-03	 8.8888e-03	
 5.1581e-03	 8.8900e-03	
 5.1439e-03	 8.8508e-03	
 5.1439e-03	 9.1059e-03	
 5.1688e-03	 8.8686e-03	
 5.1510e-03	 8.6989e-03	
 5.1439e-03	 8.6835e-03	
 5.1558e-03	 8.8152e-03	
 5.1510e-03	 8.8437e-03	
 5.1700e-03	 8.6681e-03	
 5.1463e-03	 8.6669e-03	
 5.1403e-03	 8.8046e-03	
 5.1427e-03	 8.6420e-03	
 5.1439e-03	 8.5043e-03	
 5.1356e-03	 8.6325e-03	
 5.1546e-03	 8.5921e-03	
 5.1214e-03	 8.4616e-03	
 5.1059e-03	 8.5577e-03	
 5.1368e-03	 8.4960e-03	
 5.1427e-03	 8.4901e-03	
 5.1237e-03	 8.4925e-03	
 5.1297e-03	 8.5732e-03	
 5.1024e-03	 8.6574e-03	
 5.1225e-03	 8.4782e-03	
 5.1047e-03	 8.3513e-03	
 5.1225e-03	 8.3216e-03	
 5.1154e-03	 8.4984e-03	
 5.0798e-03	 8.4355e-03	
 5.1142e-03	 8.2789e-03	
 5.1190e-03	 8.4438e-03	
 5.1059e-03	 8.3548e-03	
 5.0858e-03	 8.3786e-03	
 5.0893e-03	 8.4320e-03	
 5.0988e-03	 8.3916e-03	
 5.1071e-03	 8.3370e-03	
 5.1024e-03	 8.1519e-03	
 5.0952e-03	 8.2896e-03	
 5.1024e-03	 8.3797e-03	
 5.1190e-03	 8.2552e-03	
 5.0976e-03	 8.3869e-03	
 5.0834e-03	 8.1768e-03	
 5.0881e-03	 8.3086e-03	
 5.0585e-03	 8.2872e-03	
 5.0917e-03	 8.3489e-03	
 5.0644e-03	 8.2492e-03	
 5.0715e-03	 8.2136e-03	
 5.0537e-03	 8.1151e-03	
 5.0620e-03	 8.2184e-03	
 5.0691e-03	 8.0641e-03	
 5.0834e-03	 8.1555e-03	
 5.1012e-03	 8.2433e-03	
 5.0597e-03	 8.1721e-03	
 5.0834e-03	 8.0784e-03	
 5.0751e-03	 8.0285e-03	
 5.0869e-03	 8.0736e-03	
 5.0763e-03	 8.0012e-03	
 5.1024e-03	 8.1602e-03	
 5.0727e-03	 8.0558e-03	
 5.0727e-03	 8.0724e-03	
 5.0715e-03	 8.1306e-03	
 5.0573e-03	 7.8790e-03	
 5.0490e-03	 8.0024e-03	
 5.0490e-03	 7.8648e-03	
 5.0549e-03	 7.9858e-03	
 5.0680e-03	 7.9395e-03	
 5.0656e-03	 7.9502e-03	
 5.0632e-03	 7.9004e-03	
 5.0430e-03	 7.9277e-03	
 5.0632e-03	 7.8600e-03	
 5.0466e-03	 7.9834e-03	
 5.0549e-03	 7.9241e-03	
 5.0573e-03	 7.8814e-03	
 5.0478e-03	 7.8541e-03	
 5.0407e-03	 7.8600e-03	
 5.0276e-03	 7.7983e-03	
 5.0502e-03	 7.7509e-03	
 5.0430e-03	 7.8102e-03	
 5.0407e-03	 7.8292e-03	
 5.0430e-03	 7.8707e-03	
 5.0347e-03	 7.7271e-03	
 5.0703e-03	 7.7556e-03	
 5.0478e-03	 7.7959e-03	
 5.0383e-03	 7.8173e-03	
 5.0466e-03	 7.8007e-03	
 5.0371e-03	 7.6536e-03	
 5.0347e-03	 7.7247e-03	
 5.0205e-03	 7.7010e-03	
 5.0181e-03	 7.6583e-03	
 5.0300e-03	 7.6583e-03	
 5.0312e-03	 7.6073e-03	
 5.0229e-03	 7.7153e-03	
 5.0264e-03	 7.6654e-03	
 5.0252e-03	 7.6168e-03	
 5.0264e-03	 7.6061e-03	
 5.0359e-03	 7.6880e-03	
 5.0288e-03	 7.6168e-03	
 5.0466e-03	 7.6132e-03	
 5.0146e-03	 7.5598e-03	
 5.0217e-03	 7.5503e-03	
 5.0063e-03	 7.6108e-03	
 5.0383e-03	 7.5456e-03	
 5.0193e-03	 7.6619e-03	
 5.0110e-03	 7.5705e-03	
 5.0039e-03	 7.4945e-03	
 5.0003e-03	 7.4696e-03	
 5.0122e-03	 7.6630e-03	
 5.0264e-03	 7.4886e-03	
